Order Date,Predicted Sales
2017-12-30,1416.8635700000011
2017-12-31,3244.625454
2018-01-01,2477.643460000003
2018-01-02,3523.6836399999993
2018-01-03,1677.9052499999991
2018-01-04,1259.1360400000005
2018-01-05,1180.7083040000007
2018-01-06,2004.6960799999974
2018-01-07,2227.68018
2018-01-08,1237.6251699999987
2018-01-09,914.34776
2018-01-10,779.1980699999997
2018-01-11,1089.6497600000005
2018-01-12,1689.0281019999998
2018-01-13,2470.796683999999
2018-01-14,1952.8133599999994
2018-01-15,3818.17923
2018-01-16,3418.061953999999
2018-01-17,2750.8759119999972
2018-01-18,2245.6022179999973
2018-01-19,1779.245373999999
2018-01-20,1697.12178
2018-01-21,2619.5436900000013
2018-01-22,2193.31253
2018-01-23,1214.31659
2018-01-24,786.3950299999996
2018-01-25,1706.6509599999997
2018-01-26,2014.3731599999996
2018-01-27,1247.8538600000004
2018-01-28,1007.7154800000006
